Age Group, % of population in 2022
<5, 6
5 to 9, 6.4
10 to 14, 6.5
15 to 19, 8
20 to 24, 12
25 to 29, 9.8
30 to 34, 8.6
35 to 39, 7.4
40 to 44, 6.5
45 to 49, 5.4
50 to 54, 5.3
55 to 59, 4.8
60 to 64, 3.9
65 to 69, 3
70 to 74, 2.4
75 to 79, 1.7
80 to 84, 1.2
85>, 1.1
